,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,Region,State,Zip,AHJ,RoofType,RoofSqFoot,NumMountingPlanes,NumPanels,Utility,ProductTypeAlt,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,NumStories,Status
39084,JB-8528105-00,5.4,9038.389000000001,9189.0,Southwest,AZ,85225,Chandler,Foam,2210.0,2,18,Arizona Public Service Company,PV Only,,0.10665899999999999,139.7003,10000.0,0.035,10800.0,0.013333333000000001,,0
39085,JB-8527919-00,8.4,13746.3862,17596.0,Southwest,AZ,85266,Scottsdale,Flat Tile,4282.0,3,28,Arizona Public Service Company,PV Only,,0.153798,289.4812,10001.0,0.035,10500.0,0.0125,,0
39086,JB-8516034-00,8.45,14683.743,18800.0,Southwest,AZ,85138,Maricopa,Round Tile,2545.0,3,26,Electrical District #3,PV Only,,0.152206,296.9623,10400.0,0.035,10800.0,0.0,,0
39087,JB-8516029-00,10.5,16503.1786,25498.0,Southwest,AZ,85122,Casa Grande,Flat Tile,2131.0,4,35,Arizona Public Service Company,PV Only,,0.142973,362.3007,10002.0,0.035,10800.0,1.11e-16,Above Two Stories,0
39088,JB-8052806-00,5.2,7937.9577,7261.0,Southwest,CO,80516,Erie,Flat Tile,2289.0,1,16,United Power,PV Only,,0.135605,118.4789,9982580.0,0.038,50090.0,0.0,,0
39089,JB-8052761-00,5.4,7588.7612,7800.0,Southwest,CO,80525,Fort Collins,Comp Shingle Roof,2319.0,1,18,Fort Collins City of,PV Only,,0.10205299999999999,102.7609,998504126.0,0.038,50090.0,0.0,,0
39090,JB-8027196-00,2.4,3550.1240000000003,3671.0,Southwest,CO,80239,Denver,Comp Shingle Roof,3082.0,1,8,Xcel Energy (CO),PV Only,,0.11993399999999999,73.1162,50001.0,0.038,50090.0,0.13,,0
39091,JB-8017496-00,7.8,11162.066,18559.0,Southwest,CO,80130,Douglas County,Comp Shingle Roof,2186.0,3,24,Xcel Energy (CO),PV Only,,0.116871,217.17700000000002,50001.0,0.038,50090.0,0.002916667,Two Stories,0
39092,JB-787429-00,12.025,14510.8927,21168.0,Southwest,TX,78752,Austin,Comp Shingle Roof,3765.0,2,37,Austin Energy (City of Austin),PV Only,,0.115505,255.5501,998504552.0,0.028999999999999998,49601.0,0.105945946,One Story,0
39093,JB-7603558-00,9.0,11856.3224,13162.0,Southwest,TX,76002,Arlington,Comp Shingle Roof,2970.0,2,30,MP2 Energy (Dallas),PV Only,,0.100974,165.8178,998504338.0,0.019,49601.0,0.013666667,,0
