,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,State,RoofSqFoot,NumMountingPlanes,NumPanels,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,Reroof,MPU,Status,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total
9627,JB-20712846-00,7.0,7052.6065,23134.0,MD,1309.0,2,25,,0.14841600000000002,342.4052,9991221.0,0.057,100099.0,0.1936,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9628,JB-20712721-00,8.4,9375.7032,18278.0,MD,1081.0,2,30,,0.14471199999999998,276.7046,9991238.0,0.057,100099.0,0.0,0,1,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9629,JB-20712716-00,19.6,17735.7229,21161.0,MD,4267.0,4,70,,0.139043,301.4753,9991241.0,0.057,100099.0,0.048857143,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9630,JB-20712070-00,2.24,1877.1847,13440.0,MD,1542.0,1,8,,0.147293,221.2526,9991238.0,0.057,100099.0,0.18,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9631,JB-20711593-00,8.06,9387.9517,9496.0,MD,2347.0,2,31,,0.15424100000000002,178.3404,9991238.0,0.057,100099.0,0.0,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9632,JB-2064857-00,4.48,5488.996,10717.0,MD,738.0,2,16,,0.14534,186.0849,9991241.0,0.057,100099.0,0.0,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9633,JB-2064796-00,9.52,12536.3285,12488.0,MD,3152.0,1,34,,0.15087,221.8896,9991241.0,0.057,100099.0,0.026666667,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9634,JB-2064613-00,8.84,10618.0147,10789.0,MD,2676.0,3,34,,0.14375,185.5269,9991241.0,0.057,100099.0,0.041764706,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
9635,JB-1992908-00,8.32,9560.9769,12395.0,DE,3637.0,3,32,,0.12493499999999999,180.8459,998504379.0,0.043,49601.0,0.09875,0,0,1,1038,1817627,10935661,6855707,7762454,19204844,16646,46576295
9636,JB-1992622-00,3.38,2707.7086,13070.0,DE,1400.0,1,13,,0.11841600000000001,180.7737,998504550.0,0.043,49601.0,0.17,0,0,1,1038,1817627,10935661,6855707,7762454,19204844,16646,46576295
9637,JB-1972228-00,10.36,11548.6989,11547.0,DE,1614.0,3,37,,0.129492,176.4022,999475.0,0.043,49601.0,0.050540540999999994,0,0,1,1038,1817627,10935661,6855707,7762454,19204844,16646,46576295
9638,JB-1941232-00,7.0,9813.4047,9852.0,PA,2221.0,1,25,,0.160638,480.0178,9991702.0,0.0337,998504099.0,0.01,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9639,JB-193702-00,10.14,11805.8941,18345.0,PA,3615.0,2,39,,0.159527,600.4615,40048.0,0.0337,998504099.0,0.094615385,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9640,JB-1931157-00,8.58,9854.9529,15185.0,PA,802.0,2,33,,0.157032,546.8447,998504477.0,0.0337,998504099.0,0.0,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9641,JB-1902725-00,8.4,8388.7322,10372.0,PA,2276.0,3,30,,0.154373,481.5639,9991702.0,0.0337,998504099.0,0.01,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
