"Zip","JobId","Latitude","Longitude","AverageTilt","PaymentType","GrossPrice","FederalTaxCredit","Bedroom","HomeSqFoot","HeatingType","Heating","CoolingType","Cooling","YearBuilt","EngineeringSoldkWSize","EngineeringSoldAnnualkWh","EnergyConsumption","Region","State","AHJ","RoofType","RoofSqFoot","NumMountingPlanes","NumPanels","Utility","ProductTypeAlt","PowerwallCount","UtilityCostPerKWh","OldBill","UtilityRatePlanId","UtilityInflationRate","GasRatePlanID","AverageShading","NumStories","Status","Insolation","yearly_sunlight_kwh_kw_threshold_avg","yearly_sunlight_kwh_n","yearly_sunlight_kwh_s","yearly_sunlight_kwh_e","yearly_sunlight_kwh_w","yearly_sunlight_kwh_f","yearly_sunlight_kwh_median","yearly_sunlight_kwh_total","ZIP","Avg.Age","Avg.Age.Male","Avg..Age.Female","HS.or.Below","Undergrad.or.Below","Graduate.School","Total.Homes","Avg.Value","Median.Income","Population"
95212,"JB-9526699-00",38.033129,-121.266258,24,"Lease",18360,4557.6,4,2072,"",NA,"",NA,2005,3.6,5843.7879,5878,"Pacific Northwest","CA","Stockton","Flat Tile",3457,1,12,"Pacific Gas and Electric Company","PV Only",NA,0.253054,185.484,998504487,0.029,90,0.03,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95206,"JB-9526701-00",37.913026,-121.318984,22,"Loan",19428.5,5828.55,4,2147,"",NA,"",NA,2002,4.55,7311.8037,6236,"Pacific Northwest","CA","Stockton","Flat Tile",1950,1,14,"Pacific Gas and Electric Company","PV Only",NA,0.235588,173.357,998504487,0.029,90,0,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95252,"JB-9526704-00",38.180086,-120.917871,22,"PPA",55080,13672.8,3,1837,"",NA,"",NA,1999,10.8,16279.3438,16105,"Pacific Northwest","CA","Calaveras County","Comp Shingle Roof",4563,2,36,"Pacific Gas and Electric Company","PV Only",NA,0.265846,404.8346,10,0.029,90,0,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95219,"JB-9526713-00",38.003628,-121.363762,22,"Loan",29142.75,8742.825,3,2362,"",NA,"",NA,1969,6.825,10040.1626,14631,"Pacific Northwest","CA","Stockton","Metal - Tile",4485,1,21,"Pacific Gas and Electric Company","PV Only",NA,0.275799,387.1975,10,0.029,90,0.092857143,"",0,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95212,"JB-9526719-00",38.047927,-121.255443,28,"Lease",48654,12913.2,3,2095,"",NA,"",NA,1961,10.2,14011.79,13902,"Pacific Northwest","CA","San Joaquin County","Comp Shingle Roof",3180,1,34,"Pacific Gas and Electric Company","PV Only",NA,0.267899,361.2903,998504487,0.029,90,0.01,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95212,"JB-9526722-00",38.043831,-121.263466,22,"Loan",16151.59,4845.477,4,2450,"",NA,"",NA,2004,4.55,6711.251,6702,"Pacific Northwest","CA","Stockton","Flat Tile",2445,2,14,"Pacific Gas and Electric Company","PV Only",NA,0.238774,184.2848,998504487,0.029,90,0.13,"One Story",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95337,"JB-95312845-00",37.778887,-121.231957,28,"Lease",22950,5697,4,2397,"",NA,"",NA,2007,4.5,6111.0022,6289,"Pacific Northwest","CA","Manteca","Flat Tile",2141,1,15,"Pacific Gas and Electric Company","PV Only",NA,0.19969,152.7012,10,0.029,90,0,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95336,"JB-95313162-00",37.810327,-121.206211,20,"Lease",42840,10634.4,4,1999,"",NA,"",NA,1980,8.4,11935.1835,12842,"Pacific Northwest","CA","Manteca","Comp Shingle Roof",2541,4,28,"Pacific Gas and Electric Company","PV Only",NA,0.248978,314.4951,10,0.029,90,0,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95361,"JB-95313211-00",37.776977,-120.837992,22,"PPA",33660,8355.6,5,2816,"",NA,"Central",1,2001,6.6,9345.8215,9603,"Pacific Northwest","CA","Oakdale","Comp Shingle Roof",2956,5,22,"Pacific Gas and Electric Company","PV Only",NA,0.25232,259.9657,10,0.029,90,0.016521739,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95330,"JB-95313284-00",37.816772,-121.312777,20,"Loan",26332.8,7899.84,4,2947,"",NA,"",NA,2006,7.8,13215.6468,8505,"Pacific Northwest","CA","Lathrop","Flat Tile",3296,3,24,"Pacific Gas and Electric Company","PV Only",NA,0.237396,216.3011,10,0.029,90,0.004166667,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95301,"JB-95313326-00",37.369275,-120.623511,19,"Loan",27345.6,8203.68,4,1559,"",NA,"Central",1,1982,8.1,12002.1121,11282,"Pacific Northwest","CA","Atwater","Comp Shingle Roof",2842,2,27,"Pacific Gas and Electric Company","PV Only",NA,0.243229,276.723,10,0.029,90,0.052222222,"",1,5.3,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95341,"JB-95313329-00",37.27885,-120.4921,19,"Loan",32916,9874.8,3,1706,"Gas",1,"Central",1,2005,7.8,12694.8871,13032,"Pacific Northwest","CA","Merced","Comp Shingle Roof",2946,2,26,"Pacific Gas and Electric Company","PV Only",NA,0.247646,316.9905,10,0.029,90,0,"Two Stories",1,5.3,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95304,"JB-95313340-00",37.710883,-121.407711,34,"Loan",12489.75,3746.925,4,1902,"",NA,"Other",1,2002,2.925,5173.6221,9222,"Pacific Northwest","CA","Tracy","Comp Shingle Roof",2271,1,9,"Pacific Gas and Electric Company","PV Only",NA,0.251337,251.1989,998504487,0.029,90,0.11,"One Story",0,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95336,"JB-95313344-00",37.805275,-121.194432,27,"Lease",26010,6456.6,3,1822,"",NA,"Central",1,1998,5.1,7936.8742,11481,"Pacific Northwest","CA","Manteca","Round Tile",3765,3,17,"Pacific Gas and Electric Company","PV Only",NA,0.010445,58.0398,998504487,0.029,90,0,"Two Stories",0,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95337,"JB-95313349-00",37.794602,-121.243649,20,"Loan",14474.85,4342.455,3,1690,"",NA,"",NA,1993,4.225,6228.6214,5019,"Pacific Northwest","CA","Manteca","Round Tile",4311,3,13,"Pacific Gas and Electric Company","PV Only",NA,0.210469,136.0755,10,0.029,90,0.073846154,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95337,"JB-95313350-00",37.773239,-121.20082,20,"Lease",16830,4177.8,3,2656,"",NA,"",NA,2003,3.3,5410.6552,5785,"Pacific Northwest","CA","Manteca","Flat Tile",4097,1,11,"Pacific Gas and Electric Company","PV Only",NA,0.236689,172.1504,998504487,0.029,90,0.01,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95337,"JB-95313356-00",37.774372,-121.239732,20,"PPA",15300,3798,4,1928,"Solar",1,"Central / Solar",1,2016,3,4913.0134,7636,"Pacific Northwest","CA","Manteca","Flat Tile",3304,1,10,"Pacific Gas and Electric Company","PV Only",NA,0.264802,216.5494,998504489,0.029,90,0,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95320,"JB-95313357-00",37.79307,-121.011075,22,"Loan",36714,11014.2,4,1959,"",NA,"Central",1,1989,8.7,11862.4735,9111,"Pacific Northwest","CA","Escalon City","Comp Shingle Roof",3263,1,29,"Pacific Gas and Electric Company","PV Only",NA,0.251035,248.6448,998504487,0.029,90,0.13,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313359-00",37.714829,-121.422208,24,"Lease",35190,8735.4,4,1868,"Electric",1,"Central",1,2002,6.9,9033.1802,9692,"Pacific Northwest","CA","Tracy","Comp Shingle Roof",2129,2,23,"Pacific Gas and Electric Company","PV Only",NA,0.240157,242.0136,10,0.029,90,0.01,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313361-00",37.759888,-121.415704,23,"Loan",15265.25,4579.575,3,1724,"",NA,"",NA,1997,3.575,5148.8656,5315,"Pacific Northwest","CA","Tracy","Flat Tile",1885,2,11,"Pacific Gas and Electric Company","PV Only",NA,0.233736,161.5723,998504487,0.029,90,0.034545455,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95304,"JB-95313364-00",37.704307,-121.404399,24,"Lease",45900,11394,4,2904,"",NA,"Central",1,1994,9,11452.9581,11508,"Pacific Northwest","CA","San Joaquin County","Comp Shingle Roof",5077,2,30,"Pacific Gas and Electric Company","PV Only",NA,0.01042,58.0398,998504489,0.029,90,0.058,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313366-00",37.755599,-121.452765,20,"Loan",19428.5,5828.55,3,1570,"",NA,"",NA,1990,4.55,6270.673,10697,"Pacific Northwest","CA","Tracy","Flat Tile",1699,2,14,"Pacific Gas and Electric Company","PV Only",NA,0.254754,285.1386,10,0.029,90,0.055,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95377,"JB-95313376-00",37.719866,-121.46396,24,"Lease",18232.5,4579.575,4,2199,"",NA,"",NA,2003,3.575,5877.102,9862,"Pacific Northwest","CA","Tracy","Round Tile",2226,1,11,"Pacific Gas and Electric Company","PV Only",NA,0.240777,245.9253,10,0.029,90,0,"",1,5.07,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95377,"JB-95313383-00",37.720355,-121.463677,22,"Loan",24054,7216.2,4,2199,"",NA,"",NA,2003,5.7,7475.1926,7200,"Pacific Northwest","CA","Tracy","Comp Shingle Roof",2378,2,19,"Pacific Gas and Electric Company","PV Only",NA,0.22771,184.6726,10,0.029,90,0,"",1,5.07,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95334,"JB-95313389-00",37.380018,-120.721429,19,"PPA",33660,8355.6,3,1120,"",NA,"",NA,1971,6.6,10322.476,9916,"Pacific Northwest","CA","Livingston","Comp Shingle Roof",2340,2,22,"Pacific Gas and Electric Company","PV Only",NA,0.238699,245.2914,10,0.029,90,0.1325,"",1,5.3,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95330,"JB-95313391-00",37.839655,-121.277462,22,"Loan",26586,7975.8,5,2225,"",NA,"",NA,2001,6.3,8539.0545,6448,"Pacific Northwest","CA","Lathrop","Flat Tile",2107,1,21,"Pacific Gas and Electric Company","PV Only",NA,0.222935,167.8373,10,0.029,90,0.01,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95304,"JB-95313392-00",37.697382,-121.406754,22,"Loan",30384,9115.2,5,3517,"",NA,"Central",1,2004,7.2,10429.8829,10741,"Pacific Northwest","CA","San Joaquin County","Comp Shingle Roof",3856,3,24,"Pacific Gas and Electric Company","PV Only",NA,0.243669,266.1511,10,0.029,90,0.005,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313394-00",37.724184,-121.439125,22,"Loan",21522,6456.6,4,2147,"Gas",1,"Central",1,1999,5.1,6836.5093,5988,"Pacific Northwest","CA","Tracy","Flat Tile",1921,2,17,"Pacific Gas and Electric Company","PV Only",NA,0.244333,179.9688,998504487,0.029,90,0.007058824,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95330,"JB-95313396-00",37.810794,-121.304801,18,"Lease",27540,6836.4,4,2616,"",NA,"",NA,2005,5.4,7956.5647,7357,"Pacific Northwest","CA","Lathrop","Round Tile",2036,1,18,"Pacific Gas and Electric Company","PV Only",NA,0.0163,58.0398,10,0.029,90,0,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
